timestamp,product,file
2026-09-01 08:04:15+00:00,MAX_Z,data\processed\radar\tensors\paradip_max_z_20260901T080415Z_radar_128x128.npy
2026-09-01 08:04:15+00:00,PPI_Z,data\processed\radar\tensors\paradip_ppi_z_20260901T080415Z_radar_128x128.npy
