metric,mean,std
precision,0.4133333333333333,0.43307684717097905
recall,0.38,0.4147288270665544
f1,0.3888888888888889,0.41573970964154905
roc_auc,0.7606944444444445,0.18886565420823917
pr_auc,0.7578888888888888,0.22481693512942402
