EVENT_CLASS,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML
0,25.813157894736843,45.247368421052634,-6.476315789473684,1.0947368421052632,155.52631578947367,19.513157894736842,19.513157894736842,19.513157894736842,3776.5,4399.421052631579,2462.2894736842104,15.631578947368421,17.105263157894736,48.5,1037.2894736842106,1069.1052631578948,709.0,-107.57894736842105,-58.36842105263158,-159.6315789473684,-6.5,-6.631578947368421,-4.368421052631579,679.6578947368421,697.0526315789474,1461.2894736842106,2303.7368421052633,2128.7368421052633,2872.5526315789475,13997.81081081081,14429.081081081082,12838.216216216217,1084.421052631579,1165.421052631579,857.7368421052631
1,31.875,47.25,-5.875,-0.15000000000000002,226.125,18.775,18.775,18.775,3223.25,3680.625,1942.75,24.75,27.625,39.375,974.875,1002.0,656.25,-96.25,-36.75,-161.25,-5.875,-5.875,-3.875,614.75,663.75,1257.0,2380.875,2168.875,3371.5,13261.75,14217.125,12534.875,1061.75,1213.625,882.875
2,35.86153846153846,50.0923076923077,-6.346153846153846,-2.230769230769231,275.46153846153845,18.338461538461537,18.338461538461537,18.338461538461537,2635.153846153846,3238.3076923076924,2118.076923076923,39.53846153846154,47.15384615384615,55.53846153846154,911.9230769230769,936.1538461538462,803.0,-134.07692307692307,-34.84615384615385,-130.30769230769232,-6.384615384615385,-4.153846153846154,-5.615384615384615,576.6153846153846,823.7692307692307,1119.6153846153845,2901.230769230769,2032.3846153846155,3233.4615384615386,12403.615384615385,13522.307692307691,12167.461538461539,1115.0,1285.7692307692307,1050.2307692307693
