model,fold,precision,recall,f1,roc_auc,pr_auc
A2_MLP,1,0.4,0.5,0.4444444444444444,0.75,0.7361111111111112
A2_MLP,2,0.0,0.0,0.0,0.53125,0.41666666666666663
A2_MLP,3,1.0,1.0,1.0,1.0,1.0
A2_MLP,4,0.0,0.0,0.0,0.888888888888889,0.9166666666666665
A2_MLP,5,0.6666666666666666,0.4,0.5,0.6333333333333333,0.72
