TIME,CAPE_SB,CAPE_MU,CAPE_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,K_INDEX,TOTAL_TOTALS,SWEAT,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML
00Z,2839.793103448276,3718.0,1754.655172413793,-161.0344827586207,-61.3448275862069,-188.10344827586206,-5.0344827586206895,-4.689655172413793,-3.1379310344827585,28.26206896551724,44.95862068965517,174.51724137931035,830.5862068965517,981.8275862068965,677.7931034482758
12Z,4039.866666666667,4363.3,2858.633333333333,-64.36666666666666,-39.53333333333333,-119.83333333333333,-7.7,-7.233333333333333,-5.966666666666667,29.416666666666668,48.16,207.96666666666667,1337.0,1407.9,1121.8
