DATE,TIME,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML,EVENT_CLASS,THUNDERSTORM
9/4/2026,00Z,34.9,42.2,-3.3,1.1,244.0,19.9,19.9,19.9,2785.0,4059.0,3097.0,85.0,163.0,113.0,796.0,1009.0,861.0,-14.0,0.0,0.0,-3.0,-5.0,-4.0,189.0,146.0,572.0,1564.0,1247.0,1469.0,14407.0,15203.0,14609.0,1816.0,2192.0,1915.0,2.0,1.0
,12Z,37.0,44.5,-0.2,-0.6,256.0,16.9,16.9,16.9,466.0,1004.0,338.0,3.0,0.0,36.0,112.0,0.0,84.0,-178.0,-2.0,-178.0,0.0,7.0,0.0,404.0,1849.0,1137.0,6646.0,2344.0,9108.0,10711.0,12621.0,9885.0,531.0,780.0,452.0,2.0,1.0
10/4/2026,00Z,27.9,38.4,-1.8,4.4,169.0,18.5,18.5,18.5,1637.0,2198.0,1993.0,83.0,79.0,114.0,277.0,253.0,361.0,-38.0,-12.0,-33.0,-2.0,-2.0,-2.0,306.0,310.0,639.0,1654.0,1490.0,1547.0,13250.0,14027.0,13787.0,711.0,824.0,785.0,2.0,1.0
,12Z,44.5,51.9,-9.5,-5.3,301.0,20.2,20.2,20.2,4740.0,4740.0,3684.0,184.0,184.0,136.0,1374.0,1374.0,1179.0,0.0,0.0,0.0,-10.0,-10.0,-8.0,903.0,903.0,1050.0,1362.0,1362.0,1478.0,15486.0,15486.0,14722.0,2029.0,2029.0,1789.0,2.0,1.0
11/4/2026,00Z,-17.5,35.8,-5.1,7.0,125.0,20.7,20.7,20.7,3562.0,4393.0,2190.0,127.0,148.0,109.0,827.0,939.0,532.0,-7.0,0.0,-13.0,-5.0,-6.0,-3.0,177.0,126.0,892.0,1127.0,932.0,1500.0,14847.0,15409.0,13682.0,1122.0,1246.0,880.0,0.0,0.0
,12Z,6.1,42.6,-6.1,1.3,206.0,20.2,20.2,20.2,4809.0,4937.0,4124.0,154.0,154.0,129.0,983.0,983.0,849.0,0.0,0.0,0.0,-6.0,-6.0,-5.0,1029.0,1056.0,1156.0,1488.0,1515.0,1591.0,15519.0,15585.0,15170.0,1157.0,1172.0,1071.0,0.0,0.0
12/4/2026,00Z,6.7,33.4,-5.1,8.8,71.0,20.1,20.1,20.1,3220.0,4258.0,891.0,6.0,20.0,41.0,716.0,894.0,157.0,0.0,0.0,-55.0,-5.0,-6.0,-2.0,272.0,117.0,1249.0,1465.0,1237.0,2895.0,14713.0,15215.0,11600.0,1316.0,1514.0,692.0,0.0,0.0
,12Z,15.1,39.8,-3.0,3.4,180.0,17.7,17.7,17.7,2856.0,3765.0,616.0,29.0,49.0,20.0,453.0,622.0,33.0,0.0,0.0,-57.0,-3.0,-4.0,1.0,1294.0,1174.0,1938.0,1895.0,1617.0,6112.0,14492.0,15249.0,11688.0,1342.0,1541.0,623.0,0.0,0.0
13/4/2026,00Z,20.7,36.0,-2.5,6.5,157.0,19.9,19.9,19.9,3075.0,3801.0,1702.0,4.0,12.0,39.0,633.0,747.0,324.0,-16.0,0.0,-82.0,-3.0,-3.0,-1.0,323.0,272.0,987.0,1983.0,1806.0,2387.0,14911.0,15199.0,12973.0,1555.0,1728.0,1157.0,0.0,0.0
,12Z,27.5,48.4,-7.2,-1.4,210.0,20.5,20.5,20.5,4777.0,4865.0,3244.0,12.0,12.0,40.0,1063.0,1063.0,763.0,-65.0,-58.0,-116.0,-7.0,-7.0,-5.0,780.0,797.0,1345.0,1997.0,1982.0,2370.0,15585.0,15631.0,14795.0,2322.0,2344.0,1913.0,0.0,0.0
14/4/2026,00Z,35.9,44.8,-5.3,0.6,187.0,20.6,20.6,20.6,4067.0,4213.0,2331.0,5.0,2.0,57.0,908.0,919.0,536.0,-84.0,-81.0,-141.0,-5.0,-5.0,-3.0,379.0,255.0,1358.0,1993.0,1957.0,2431.0,14987.0,15056.0,13436.0,1121.0,1141.0,848.0,0.0,0.0
,12Z,34.3,46.8,-6.8,-1.0,191.0,20.5,20.5,20.5,4917.0,5757.0,4808.0,10.0,0.0,30.0,1227.0,695.0,1204.0,-65.0,0.0,-91.0,-7.0,-4.0,-7.0,781.0,1174.0,989.0,2066.0,1879.0,2091.0,1501.0,1555.0,14952.0,1885.0,2040.0,1864.0,0.0,0.0
15/4/2026,00Z,37.7,48.4,-5.7,-2.0,230.0,20.4,20.4,20.4,3695.0,4371.0,2832.0,1.0,5.0,46.0,875.0,1002.0,684.0,-82.0,-36.0,-150.0,-6.0,-6.0,-4.0,326.0,348.0,1026.0,2111.0,1938.0,2376.0,14123.0,14994.0,13548.0,1213.0,1320.0,1062.0,0.0,0.0
,12Z,32.5,52.0,-8.0,-2.9,257.0,19.8,19.8,19.8,3650.0,4164.0,3363.0,4.0,7.0,29.0,1300.0,1444.0,1214.0,-108.0,-67.0,-168.0,-8.0,-9.0,-7.0,773.0,653.0,1070.0,2313.0,2158.0,2405.0,,,,1166.0,1245.0,1119.0,0.0,0.0
16/4/2026,00Z,34.5,48.8,-6.6,-1.1,194.0,20.7,20.7,20.7,4212.0,4904.0,3113.0,12.0,21.0,52.0,1060.0,1191.0,819.0,-103.0,-57.0,-213.0,-7.0,-7.0,-5.0,348.0,304.0,1061.0,2321.0,2173.0,2575.0,14782.0,15156.0,14202.0,1381.0,1490.0,1187.0,1.0,1.0
,12Z,24.1,44.0,-7.0,2.8,127.0,20.3,20.3,20.3,4821.0,4821.0,3210.0,10.0,10.0,35.0,1105.0,1105.0,780.0,-73.0,-73.0,-219.0,-7.0,-7.0,-5.0,778.0,778.0,1196.0,2412.0,2412.0,2785.0,15487.0,15487.0,14465.0,1557.0,1557.0,1270.0,1.0,1.0
17/4/2026,00Z,34.5,49.8,-6.8,-1.3,196.0,19.9,19.9,19.9,3555.0,4599.0,3609.0,0.0,0.0,33.0,895.0,358.0,907.0,-126.0,-21.0,-161.0,-7.0,-3.0,-7.0,398.0,1584.0,811.0,2468.0,2205.0,2452.0,14473.0,15122.0,14506.0,444.0,505.0,447.0,0.0,0.0
,12Z,26.3,44.2,-7.3,2.9,108.0,19.8,19.8,19.8,4332.0,5210.0,4915.0,1.0,0.0,9.0,1197.0,428.0,1318.0,-85.0,-9.0,-98.0,-7.0,-3.0,-8.0,776.0,1486.0,782.0,2607.0,2404.0,2475.0,14889.0,15288.0,15152.0,1769.0,1940.0,1884.0,0.0,0.0
18/4/2026,00Z,28.5,50.2,-7.1,-3.4,242.0,21.4,21.4,21.4,5288.0,5345.0,3841.0,52.0,41.0,44.0,1259.0,1252.0,954.0,-24.0,-25.0,-160.0,-7.0,-7.0,-5.0,403.0,292.0,847.0,2023.0,2012.0,2312.0,15349.0,15373.0,14688.0,1201.0,1207.0,1024.0,0.0,0.0
,12Z,21.9,42.4,-7.7,4.1,51.0,19.3,19.3,19.3,4180.0,5718.0,3264.0,22.0,7.0,51.0,1125.0,1421.0,915.0,-93.0,-29.0,-148.0,-8.0,-9.0,-6.0,904.0,598.0,1315.0,2447.0,2121.0,2679.0,14967.0,15782.0,14429.0,1144.0,1338.0,1011.0,0.0,0.0
19/4/2026,00Z,28.5,46.8,-6.1,0.8,136.0,20.1,20.1,20.1,3851.0,4706.0,2594.0,0.0,2.0,63.0,1067.0,1240.0,757.0,-146.0,-83.0,-227.0,-6.0,-7.0,-4.0,396.0,272.0,1301.0,2466.0,2251.0,2795.0,14314.0,14818.0,13811.0,1031.0,1140.0,846.0,0.0,0.0
,12Z,25.7,41.6,-8.8,4.5,83.0,21.3,21.3,21.3,5572.0,5572.0,2254.0,5.0,5.0,58.0,1309.0,1309.0,630.0,-55.0,-55.0,-221.0,-9.0,-9.0,-5.0,649.0,649.0,1786.0,2321.0,2321.0,3105.0,15613.0,15613.0,13613.0,1643.0,1643.0,1045.0,0.0,0.0
20/4/2026,00Z,19.3,40.0,-8.0,5.3,54.0,20.7,20.7,20.7,4144.0,4166.0,2005.0,8.0,5.0,53.0,1287.0,1283.0,727.0,-38.0,-40.0,-257.0,-8.0,8.0,-5.0,355.0,299.0,1198.0,2397.0,2391.0,3127.0,14536.0,14559.0,12886.0,542.0,543.0,377.0,2.0,1.0
,12Z,41.3,60.0,-11.4,-8.4,459.0,20.8,20.8,20.8,5077.0,5077.0,2350.0,2.0,2.0,50.0,1559.0,1559.0,894.0,-85.0,-85.0,-253.0,-11.0,-11.0,-7.0,779.0,779.0,1748.0,2420.0,2420.0,3274.0,14846.0,14846.0,12923.0,1066.0,1066.0,725.0,2.0,1.0
21/4/2026,00Z,40.1,53.0,-7.2,-4.0,310.0,19.9,19.9,19.9,3249.0,4313.0,2723.0,4.0,15.0,43.0,1149.0,1386.0,1012.0,-163.0,-80.0,-159.0,-7.0,-9.0,-6.0,299.0,229.0,1267.0,2405.0,2121.0,2567.0,14035.0,14738.0,13503.0,1327.0,1529.0,1215.0,0.0,0.0
