fold,precision,recall,f1,roc_auc,pr_auc,train_dates,test_dates,test_samples
1,0.6666666666666666,1.0,0.8,0.96875,0.95,24,6,12
2,0.4,0.5,0.4444444444444444,0.46875,0.5166666666666666,24,6,12
3,0.6666666666666666,1.0,0.8,1.0,1.0,24,6,12
4,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,24,6,12
5,0.8,0.8,0.8,0.8666666666666667,0.911111111111111,24,6,11
