model,precision,recall,f1,roc_auc,pr_auc,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
A0,0.6914285714285715,0.8433333333333334,0.7155555555555555,0.8808333333333334,0.839070707070707,0.3073255270748539,0.1507389207279335,0.2039123510569682,0.14456592114172534,0.19970417873490595
A1,0.7066666666666667,0.8266666666666668,0.7507070707070708,0.8604166666666666,0.8696388888888889,0.21908902300206645,0.20466775244011667,0.17760322008715956,0.21291829744972343,0.1986154719800966
A2,0.6933333333333334,0.8266666666666668,0.7418181818181818,0.8608333333333335,0.8755555555555554,0.24312776705080624,0.20466775244011667,0.1968344524032634,0.22591154088615206,0.20407121729532332
A3,0.7,0.7866666666666667,0.71,0.8487500000000001,0.8025396825396826,0.2173067468400883,0.229249984853992,0.13312483698477243,0.1341090714886788,0.15957379971680646
