column,missing_count,missing_percent
DATE,0,0.0
TIME,0,0.0
K_INDEX,1,1.6666666666666667
TOTAL_TOTALS,1,1.6666666666666667
LIFTED_INDEX,1,1.6666666666666667
SHOWALTER_INDEX,1,1.6666666666666667
SWEAT,1,1.6666666666666667
MIXR_SB,1,1.6666666666666667
MIXR_MU,1,1.6666666666666667
MIXR_ML,1,1.6666666666666667
CAPE_SB,1,1.6666666666666667
CAPE_MU,1,1.6666666666666667
CAPE_ML,1,1.6666666666666667
CAPE03_SB,1,1.6666666666666667
CAPE03_MU,1,1.6666666666666667
CAPE03_ML,1,1.6666666666666667
CAPEHGL_SB,1,1.6666666666666667
CAPEHGL_MU,1,1.6666666666666667
CAPEHGL_ML,1,1.6666666666666667
CIN_SB,1,1.6666666666666667
CIN_MU,1,1.6666666666666667
CIN_ML,1,1.6666666666666667
LI_SB,1,1.6666666666666667
LI_MU,1,1.6666666666666667
LI_ML,1,1.6666666666666667
LCL_SB,1,1.6666666666666667
LCL_MU,1,1.6666666666666667
LCL_ML,1,1.6666666666666667
LFC_SB,1,1.6666666666666667
LFC_MU,1,1.6666666666666667
LFC_ML,1,1.6666666666666667
EL_SB,2,3.3333333333333335
EL_MU,2,3.3333333333333335
EL_ML,2,3.3333333333333335
WMAXSHR_SB,1,1.6666666666666667
WMAXSHR_MU,1,1.6666666666666667
WMAXSHR_ML,1,1.6666666666666667
EVENT_CLASS,0,0.0
THUNDERSTORM,0,0.0
