fold,precision,recall,f1,roc_auc,pr_auc
1,0.6,0.75,0.6666666666666666,0.8125,0.85
2,0.2,0.25,0.2222222222222222,0.46875,0.5104166666666666
3,1.0,1.0,1.0,1.0,1.0
4,1.0,0.8333333333333334,0.9090909090909091,0.888888888888889,0.9333333333333333
5,0.6666666666666666,0.8,0.7272727272727273,0.8666666666666667,0.911111111111111
