DATE,TIME,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML,EVENT_CLASS,THUNDERSTORM
13/4/2026,00Z,20.7,36,-2.5,6.5,157,19.9,19.9,19.9,3075,3801,1702,4,12,39,633,747,324,-16,0,-82,-3,-3,-1,323,272,987,1983,1806,2387,14911,15199,12973,1555,1728,1157,0,0
13/4/2026,12Z,27.5,48.4,-7.2,-1.4,210,20.5,20.5,20.5,4777,4865,3244,12,12,40,1063,1063,763,-65,-58,-116,-7,-7,-5,780,797,1345,1997,1982,2370,15585,15631,14795,2322,2344,1913,0,0
14/4/2026,00Z,35.9,44.8,-5.3,0.6,187,20.6,20.6,20.6,4067,4213,2331,5,2,57,908,919,536,-84,-81,-141,-5,-5,-3,379,255,1358,1993,1957,2431,14987,15056,13436,1121,1141,848,0,0
14/4/2026,12Z,34.3,46.8,-6.8,-1,191,20.5,20.5,20.5,4917,5757,4808,10,0,30,1227,695,1204,-65,0,-91,-7,-4,-7,781,1174,989,2066,1879,2091,1501,1555,14952,1885,2040,1864,0,0
15/4/2026,00Z,37.7,48.4,-5.7,-2,230,20.4,20.4,20.4,3695,4371,2832,1,5,46,875,1002,684,-82,-36,-150,-6,-6,-4,326,348,1026,2111,1938,2376,14123,14994,13548,1213,1320,1062,0,0
15/4/2026,12Z,32.5,52,-8,-2.9,257,19.8,19.8,19.8,3650,4164,3363,4,7,29,1300,1444,1214,-108,-67,-168,-8,-9,-7,773,653,1070,2313,2158,2405,nan,nan,nan,1166,1245,1119,0,0
16/4/2026,00Z,34.5,48.8,-6.6,-1.1,194,20.7,20.7,20.7,4212,4904,3113,12,21,52,1060,1191,819,-103,-57,-213,-7,-7,-5,348,304,1061,2321,2173,2575,14782,15156,14202,1381,1490,1187,1,1
16/4/2026,12Z,24.1,44,-7,2.8,127,20.3,20.3,20.3,4821,4821,3210,10,10,35,1105,1105,780,-73,-73,-219,-7,-7,-5,778,778,1196,2412,2412,2785,15487,15487,14465,1557,1557,1270,1,1
17/4/2026,00Z,34.5,49.8,-6.8,-1.3,196,19.9,19.9,19.9,3555,4599,3609,0,0,33,895,358,907,-126,-21,-161,-7,-3,-7,398,1584,811,2468,2205,2452,14473,15122,14506,444,505,447,0,0
17/4/2026,12Z,26.3,44.2,-7.3,2.9,108,19.8,19.8,19.8,4332,5210,4915,1,0,9,1197,428,1318,-85,-9,-98,-7,-3,-8,776,1486,782,2607,2404,2475,14889,15288,15152,1769,1940,1884,0,0
